Molecule_Name,OCNT_ID,pEC50
OADMET-0006089,OCNT-2318682,5.27
OADMET-0006088,OCNT-2318669,5.08
OADMET-0006087,OCNT-2318665,5.12
OADMET-0006086,OCNT-2318651,5.23
OADMET-0006085,OCNT-2318648,5.28
OADMET-0006084,OCNT-2318630,4.5
OADMET-0006083,OCNT-2318628,4.66
OADMET-0006082,OCNT-2318615,5.18
OADMET-0006081,OCNT-2318613,4.31
OADMET-0006080,OCNT-2318606,4.24
OADMET-0006079,OCNT-2318602,5.3
OADMET-0006078,OCNT-2318594,4.19
OADMET-0006077,OCNT-2318587,5.07
OADMET-0006076,OCNT-2318585,5.12
OADMET-0006075,OCNT-2318553,5.03
OADMET-0006074,OCNT-2318552,5.14
OADMET-0006073,OCNT-2318550,5.07
OADMET-0006072,OCNT-2318540,5.44
OADMET-0006071,OCNT-2318534,3.96
OADMET-0006070,OCNT-2318532,4.36
OADMET-0006069,OCNT-2318529,5.19
OADMET-0006068,OCNT-2318508,4.76
OADMET-0006067,OCNT-2318489,4.74
OADMET-0006066,OCNT-2318484,5.02
OADMET-0006065,OCNT-2318476,5.2
OADMET-0006064,OCNT-2318475,4.61
OADMET-0006063,OCNT-2318468,5.44
OADMET-0006062,OCNT-2318436,4.81
OADMET-0006061,OCNT-2318433,4.69
OADMET-0006060,OCNT-2318431,4.87
OADMET-0006059,OCNT-2318428,4.45
OADMET-0006058,OCNT-2318425,5.26
OADMET-0006057,OCNT-2318422,4.48
OADMET-0006056,OCNT-2318415,4.58
OADMET-0006055,OCNT-2318412,4.95
OADMET-0006054,OCNT-2318408,4.68
OADMET-0006053,OCNT-2318407,5.31
OADMET-0006052,OCNT-2318396,4.6
OADMET-0006051,OCNT-2318386,5.11
OADMET-0006050,OCNT-2318378,5.18
OADMET-0006049,OCNT-2318376,4.85
OADMET-0006048,OCNT-2318366,4.99
OADMET-0006047,OCNT-2318359,4.93
OADMET-0006046,OCNT-2318358,5.13
OADMET-0006045,OCNT-2318335,5.42
OADMET-0006044,OCNT-2318332,4.93
OADMET-0006043,OCNT-2318325,4.72
OADMET-0006042,OCNT-2318318,5.24
OADMET-0006041,OCNT-2318316,5.09
OADMET-0006040,OCNT-2318315,5.3
OADMET-0006039,OCNT-2318305,4.18
OADMET-0006038,OCNT-2318301,4.94
OADMET-0006037,OCNT-2318300,4.74
OADMET-0006036,OCNT-2318298,5.2
OADMET-0006035,OCNT-2318292,5.53
OADMET-0006034,OCNT-2318283,4.93
OADMET-0006033,OCNT-2318271,5.14
OADMET-0006032,OCNT-2318270,4.76
OADMET-0006031,OCNT-2318262,4.42
OADMET-0006030,OCNT-2318261,5.06
OADMET-0006029,OCNT-2318259,4.74
OADMET-0006028,OCNT-2318248,5.23
OADMET-0006027,OCNT-2318240,5.23
OADMET-0006026,OCNT-2318237,4.64
OADMET-0006025,OCNT-2318210,5.22
OADMET-0006024,OCNT-2318204,4.61
OADMET-0006023,OCNT-2318203,4.98
OADMET-0006022,OCNT-2318186,4.97
OADMET-0006021,OCNT-2318176,4.93
OADMET-0006020,OCNT-2318170,5.07
OADMET-0006019,OCNT-2318165,4.73
OADMET-0006018,OCNT-2318157,4.63
OADMET-0006017,OCNT-2318154,5.16
OADMET-0006016,OCNT-2318149,4.26
OADMET-0006015,OCNT-2318141,4.51
OADMET-0006014,OCNT-2318136,5.39
OADMET-0006013,OCNT-2318133,4.34
OADMET-0006012,OCNT-2318132,4.93
OADMET-0006011,OCNT-2318129,5.11
OADMET-0006010,OCNT-2318127,5.28
OADMET-0006009,OCNT-2318118,4.11
OADMET-0006008,OCNT-2318111,4.81
OADMET-0006007,OCNT-2318097,4.99
OADMET-0006006,OCNT-2318094,4.81
OADMET-0006005,OCNT-2318093,4.4
OADMET-0006004,OCNT-2318075,4.69
OADMET-0006003,OCNT-2318072,4.38
OADMET-0006002,OCNT-2318070,4.61
OADMET-0006001,OCNT-2318064,5.16
OADMET-0006000,OCNT-2318062,5.22
OADMET-0005999,OCNT-2318023,4.98
OADMET-0005998,OCNT-2318022,4.83
OADMET-0005997,OCNT-2318020,5.11
OADMET-0005996,OCNT-2318019,4.85
OADMET-0005995,OCNT-2318011,5.1
OADMET-0005994,OCNT-2318009,5.16
OADMET-0005993,OCNT-2318008,5.08
OADMET-0005992,OCNT-2318000,4.56
OADMET-0005991,OCNT-2317998,4.65
OADMET-0005990,OCNT-2317994,4.84
OADMET-0005989,OCNT-2317990,4.7
OADMET-0005988,OCNT-2317979,4.52
OADMET-0005987,OCNT-2317978,4.83
OADMET-0005986,OCNT-2317963,4.63
OADMET-0005985,OCNT-2317962,4.82
OADMET-0005984,OCNT-2317961,5.35
OADMET-0005983,OCNT-2317953,4.56
OADMET-0005982,OCNT-2317947,4.42
OADMET-0005981,OCNT-2317942,4.5
OADMET-0005980,OCNT-2317936,4.42
OADMET-0005979,OCNT-2317930,5.2
OADMET-0005978,OCNT-2317927,4.26
OADMET-0005977,OCNT-2317924,5.36
