Molecule_Name,CYP2D6_is_TDI,CYP2D6_TDI,CYP2D6_direct,CYP3A4_is_TDI,CYP3A4_TDI,CYP3A4_direct
OCNT-0000422,,,,False,2.004,2.101
OCNT-0001882,,,,,,
OCNT-0007477,,,,False,2.213,2.578
OCNT-0010068,,,,False,1.976,2.273
OCNT-0014841,,,,False,2.121,2.054
OCNT-0017486,,,,False,4.006,
OCNT-0018684,True,5.316,4.616,,,
OCNT-0019950,,,,False,2.025,
OCNT-0020887,False,4.648,4.457,,,
OCNT-0021749,False,5.555,5.467,,,
OCNT-0021863,,,,False,4.266,
OCNT-0021943,,,,,,
OCNT-0021946,,,,,,
OCNT-0022006,False,5.061,5.019,,,
OCNT-0022012,False,5.299,5.165,,,
OCNT-0022066,,,,True,4.585,4.145
OCNT-0022107,False,5.276,5.186,True,6.169,5.5
OCNT-0022119,False,6.394,6.17,False,4.943,
OCNT-0022125,,,,False,3.659,3.854
OCNT-0022126,True,5.097,4.47,,,
OCNT-0022127,False,4.807,4.516,,,
OCNT-0022128,False,4.426,4.315,False,4.775,
OCNT-0022129,,,,False,4.595,4.323
OCNT-0022130,,,,False,3.974,2.793
OCNT-0022137,False,4.624,4.601,False,3.93,
OCNT-0022139,True,5.011,4.699,,,
OCNT-0022141,False,6.184,6.168,,,
OCNT-0022142,True,5.315,4.946,False,4.844,
OCNT-0022215,False,6.612,6.673,True,5.508,4.981
OCNT-0022234,,,,False,2.407,2.057
OCNT-0022235,,,,False,2.33,2.713
OCNT-0022237,False,5.324,5.055,,,
OCNT-0022246,True,6.291,5.581,False,5.01,4.831
OCNT-0022254,False,5.884,5.638,,,
OCNT-0022266,False,5.594,5.542,,,
OCNT-0022267,True,6.362,5.992,,,
OCNT-0022268,False,6.276,6.068,,,
OCNT-0022269,True,5.976,5.655,,,
OCNT-0022271,False,5.54,5.43,,,
OCNT-0022281,False,5.952,5.695,False,3.461,3.001
OCNT-0022288,True,6.427,5.738,,,
OCNT-0022291,True,5.968,5.427,,,
OCNT-0022294,False,6.102,5.836,False,4.348,4.299
OCNT-0022297,False,4.543,4.358,,,
OCNT-0022301,True,5.737,5.103,,,
OCNT-0022303,False,5.318,5.206,,,
OCNT-0022314,,,,,,
OCNT-0022315,False,5.748,5.916,True,5.562,5.246
OCNT-0022316,,,,,,
OCNT-0022317,False,4.711,4.512,,,
OCNT-0200796,,,,,,
OCNT-0200803,,,,False,2.061,2.108
OCNT-0283087,False,5.882,5.723,,,
OCNT-0294781,,,,,,
OCNT-0319465,,,,True,4.368,3.778
OCNT-0381046,False,6.164,6.272,,,
OCNT-0436875,,,,,,
OCNT-0453746,,,,False,5.298,
OCNT-0453782,,,,False,5.69,
OCNT-0454217,,,,False,6.779,
OCNT-0454219,,,,False,6.129,
OCNT-0454221,,,,False,4.988,
OCNT-0454223,,,,False,5.149,
OCNT-0454231,,,,False,5.638,
OCNT-0454249,,,,False,3.562,
OCNT-0454251,,,,False,4.322,
OCNT-0454253,,,,False,6.486,
