drug_id,display_name,aliases,smiles,inchikey,inchikey_block
abiraterone,abiraterone,abiraterone,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,GZOSMCIZMLWJML-VJLLXTKPSA-N,GZOSMCIZMLWJML
acetaminophen,acetaminophen,acetaminophen|panadol|paracetamol|tylenol,CC(=O)Nc1ccc(O)cc1,RZVAJINKPMORJF-UHFFFAOYSA-N,RZVAJINKPMORJF
acyclovir,acyclovir,acyclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,MKUXAQIIEYXACX-UHFFFAOYSA-N,MKUXAQIIEYXACX
adagrasib,adagrasib,adagrasib,C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,PEMUGDMSUDYLHU-ZEQRLZLVSA-N,PEMUGDMSUDYLHU
adefovir,adefovir,adefovir,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,SUPKOOSCJHTBAH-UHFFFAOYSA-N,SUPKOOSCJHTBAH
adefovir_dipivoxil,adefovir dipivoxil,adefovir dipivoxil|adefovir_dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,WOZSCQDILHKSGG-UHFFFAOYSA-N,WOZSCQDILHKSGG
albuterol,albuterol,albuterol|proair|salbutamol|ventolin,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,NDAUXUAQIAJITI-UHFFFAOYSA-N,NDAUXUAQIAJITI
alfentanil,alfentanil,alfentanil,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,IDBPHNDTYPBSNI-UHFFFAOYSA-N,IDBPHNDTYPBSNI
allopurinol,allopurinol,allopurinol,O=c1[nH]cnc2[nH]ncc12,OFCNXPDARWKPPY-UHFFFAOYSA-N,OFCNXPDARWKPPY
alosetron,alosetron,alosetron,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,JSWZEAMFRNKZNL-UHFFFAOYSA-N,JSWZEAMFRNKZNL
