drug_id,enzyme,role,strength
abiraterone,CYP2D6,inhibitor,moderate
acyclovir,CYP1A2,inhibitor,weak
adagrasib,CYP3A,inhibitor,strong
alfentanil,CYP3A,substrate,sensitive
allopurinol,CYP1A2,inhibitor,weak
alosetron,CYP1A2,substrate,sensitive
alprazolam,CYP3A,substrate,moderately_sensitive
amiodarone,CYP2C9,inhibitor,moderate
amiodarone,CYP2D6,inhibitor,weak
amiodarone,CYP3A,inhibitor,weak
apalutamide,CYP2C19,inducer,moderate
apalutamide,CYP2C9,inducer,weak
apalutamide,CYP3A,inducer,strong
aprepitant,CYP2C9,inducer,weak
aprepitant,CYP3A,inhibitor,moderate
aprepitant,CYP3A,substrate,moderately_sensitive
armodafinil,CYP3A,inducer,weak
atomoxetine,CYP2D6,substrate,sensitive
atorvastatin,CYP3A,substrate,moderately_sensitive
avanafil,CYP3A,substrate,sensitive
bosentan,CYP3A,inducer,moderate
brigatinib,CYP3A,substrate,moderately_sensitive
budesonide,CYP3A,substrate,sensitive
bupropion,CYP2B6,substrate,sensitive
bupropion,CYP2D6,inhibitor,strong
buspirone,CYP3A,substrate,sensitive
caffeine,CYP1A2,substrate,sensitive
capmatinib,CYP1A2,inhibitor,moderate
carbamazepine,CYP2B6,inducer,strong
carbamazepine,CYP2C9,inducer,weak
carbamazepine,CYP3A,inducer,strong
celecoxib,CYP2C9,substrate,sensitive
celecoxib,CYP2D6,inhibitor,weak
cenobamate,CYP2C19,inhibitor,moderate
cenobamate,CYP3A,inducer,moderate
ceritinib,CYP2C9,inhibitor,weak
ceritinib,CYP3A,inhibitor,strong
chlorzoxazone,CYP3A,inhibitor,weak
cilostazol,CYP3A,inhibitor,weak
cimetidine,CYP1A2,inhibitor,weak
cimetidine,CYP2D6,inhibitor,weak
cimetidine,CYP3A,inhibitor,weak
cinacalcet,CYP2D6,inhibitor,moderate
ciprofloxacin,CYP1A2,inhibitor,moderate
ciprofloxacin,CYP3A,inhibitor,moderate
