drug_id,inchikey,inchikey_block,match_type,source_file,source_id,enzyme,endpoint,value,stereo_note
abiraterone,GZOSMCIZMLWJML-VJLLXTKPSA-N,GZOSMCIZMLWJML,full,cyp-challenge-TRAIN_TDI.csv,OCNT-0498125,CYP1A2,pIC50_TDI_condition,5.471991443,
abiraterone,GZOSMCIZMLWJML-VJLLXTKPSA-N,GZOSMCIZMLWJML,full,cyp-challenge-TRAIN_inhibition.csv,OCNT-0498125,CYP1A2,pIC50_direct,5.464861375,
abiraterone,GZOSMCIZMLWJML-VJLLXTKPSA-N,GZOSMCIZMLWJML,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0498125,CYP1A2,screen_log2fc,-1.611248632,
abiraterone,GZOSMCIZMLWJML-VJLLXTKPSA-N,GZOSMCIZMLWJML,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0498125,CYP2C9,screen_log2fc,-0.6174024595,
abiraterone,GZOSMCIZMLWJML-VJLLXTKPSA-N,GZOSMCIZMLWJML,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0498125,CYP2D6,screen_log2fc,-0.4420826558,
abiraterone,GZOSMCIZMLWJML-VJLLXTKPSA-N,GZOSMCIZMLWJML,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0498125,CYP3A4,screen_log2fc,-1.535012784,
adefovir,SUPKOOSCJHTBAH-UHFFFAOYSA-N,SUPKOOSCJHTBAH,full,pxr-challenge_TRAIN.csv,OADMET-0003692,PXR,pEC50_PXR,1.86,
adefovir,SUPKOOSCJHTBAH-UHFFFAOYSA-N,SUPKOOSCJHTBAH,full,pxr-challenge_counter-assay_TRAIN.csv,OADMET-0003692,PXR,pEC50_PXR_counter,2.67,
adefovir_dipivoxil,WOZSCQDILHKSGG-UHFFFAOYSA-N,WOZSCQDILHKSGG,full,cyp-challenge-TRAIN_TDI.csv,OCNT-2328935,CYP3A4,is_TDI,1.0,
adefovir_dipivoxil,WOZSCQDILHKSGG-UHFFFAOYSA-N,WOZSCQDILHKSGG,full,cyp-challenge-TRAIN_TDI.csv,OCNT-2328935,CYP3A4,pIC50_TDI_condition,5.63151615,
adefovir_dipivoxil,WOZSCQDILHKSGG-UHFFFAOYSA-N,WOZSCQDILHKSGG,full,cyp-challenge-TRAIN_inhibition.csv,OCNT-2328935,CYP3A4,pIC50_direct,4.822987888,
adefovir_dipivoxil,WOZSCQDILHKSGG-UHFFFAOYSA-N,WOZSCQDILHKSGG,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328935,CYP1A2,screen_log2fc,-0.00198069981,
adefovir_dipivoxil,WOZSCQDILHKSGG-UHFFFAOYSA-N,WOZSCQDILHKSGG,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328935,CYP2C9,screen_log2fc,-0.07728867217,
adefovir_dipivoxil,WOZSCQDILHKSGG-UHFFFAOYSA-N,WOZSCQDILHKSGG,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328935,CYP2D6,screen_log2fc,0.374886737,
adefovir_dipivoxil,WOZSCQDILHKSGG-UHFFFAOYSA-N,WOZSCQDILHKSGG,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328935,CYP3A4,screen_log2fc,-2.98471068,
adefovir_dipivoxil,WOZSCQDILHKSGG-UHFFFAOYSA-N,WOZSCQDILHKSGG,full,pxr-challenge_TRAIN.csv,OADMET-0003790,PXR,pEC50_PXR,3.27,
adefovir_dipivoxil,WOZSCQDILHKSGG-UHFFFAOYSA-N,WOZSCQDILHKSGG,full,pxr-challenge_counter-assay_TRAIN.csv,OADMET-0003790,PXR,pEC50_PXR_counter,3.16,
amiodarone,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,IYIKLHRQXLHMJQ,full,cyp-challenge-TRAIN_TDI.csv,OCNT-2328496,CYP1A2,pIC50_TDI_condition,4.383059432,
amiodarone,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,IYIKLHRQXLHMJQ,full,cyp-challenge-TRAIN_inhibition.csv,OCNT-2328496,CYP1A2,pIC50_direct,3.997762027,
amiodarone,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,IYIKLHRQXLHMJQ,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328496,CYP1A2,screen_log2fc,-0.3692801865,
amiodarone,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,IYIKLHRQXLHMJQ,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328496,CYP2C9,screen_log2fc,-0.7492959192,
amiodarone,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,IYIKLHRQXLHMJQ,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328496,CYP2D6,screen_log2fc,-0.1480473965,
amiodarone,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,IYIKLHRQXLHMJQ,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328496,CYP3A4,screen_log2fc,-2.223372561,
amiodarone,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,IYIKLHRQXLHMJQ,full,pxr-challenge_TRAIN.csv,OADMET-0003693,PXR,pEC50_PXR,3.92,
amiodarone,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,IYIKLHRQXLHMJQ,full,pxr-challenge_counter-assay_TRAIN.csv,OADMET-0003693,PXR,pEC50_PXR_counter,2.02,
apalutamide,HJBWBFZLDZWPHF-UHFFFAOYSA-N,HJBWBFZLDZWPHF,full,pxr-challenge_TRAIN.csv,OADMET-0003797,PXR,pEC50_PXR,4.26,
apalutamide,HJBWBFZLDZWPHF-UHFFFAOYSA-N,HJBWBFZLDZWPHF,full,pxr-challenge_counter-assay_TRAIN.csv,OADMET-0003797,PXR,pEC50_PXR_counter,4.08,
aripiprazole,CEUORZQYGODEFX-UHFFFAOYSA-N,CEUORZQYGODEFX,full,cyp-challenge-TRAIN_TDI.csv,OCNT-0022128,CYP2C9,pIC50_TDI_condition,4.63388467,
aripiprazole,CEUORZQYGODEFX-UHFFFAOYSA-N,CEUORZQYGODEFX,full,cyp-challenge-TRAIN_TDI.csv,OCNT-0022128,CYP2D6,is_TDI,0.0,
aripiprazole,CEUORZQYGODEFX-UHFFFAOYSA-N,CEUORZQYGODEFX,full,cyp-challenge-TRAIN_TDI.csv,OCNT-0022128,CYP2D6,pIC50_TDI_condition,4.42621836,
aripiprazole,CEUORZQYGODEFX-UHFFFAOYSA-N,CEUORZQYGODEFX,full,cyp-challenge-TRAIN_TDI.csv,OCNT-0022128,CYP3A4,is_TDI,0.0,
aripiprazole,CEUORZQYGODEFX-UHFFFAOYSA-N,CEUORZQYGODEFX,full,cyp-challenge-TRAIN_TDI.csv,OCNT-0022128,CYP3A4,pIC50_TDI_condition,4.77476599,
aripiprazole,CEUORZQYGODEFX-UHFFFAOYSA-N,CEUORZQYGODEFX,full,cyp-challenge-TRAIN_inhibition.csv,OCNT-0022128,CYP2C9,pIC50_direct,4.683597905,
aripiprazole,CEUORZQYGODEFX-UHFFFAOYSA-N,CEUORZQYGODEFX,full,cyp-challenge-TRAIN_inhibition.csv,OCNT-0022128,CYP2D6,pIC50_direct,4.314528733,
aripiprazole,CEUORZQYGODEFX-UHFFFAOYSA-N,CEUORZQYGODEFX,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0022128,CYP1A2,screen_log2fc,0.04235724777,
aripiprazole,CEUORZQYGODEFX-UHFFFAOYSA-N,CEUORZQYGODEFX,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0022128,CYP2C9,screen_log2fc,-1.29666039,
aripiprazole,CEUORZQYGODEFX-UHFFFAOYSA-N,CEUORZQYGODEFX,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0022128,CYP2D6,screen_log2fc,-1.17589403,
aripiprazole,CEUORZQYGODEFX-UHFFFAOYSA-N,CEUORZQYGODEFX,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0022128,CYP3A4,screen_log2fc,-2.498484216,
aripiprazole,CEUORZQYGODEFX-UHFFFAOYSA-N,CEUORZQYGODEFX,full,inhibition.tsv,OCNT-0022128-AA-003,CYP3A4,pIC50_direct,4.8578709225,
aspirin,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,BSYNRYMUTXBXSQ,full,pxr-challenge_TRAIN.csv,OADMET-0002173,PXR,pEC50_PXR,2.61,
atazanavir,AXRYRYVKAWYZBR-GASGPIRDSA-N,AXRYRYVKAWYZBR,full,pxr-challenge_TRAIN.csv,OADMET-0003700,PXR,pEC50_PXR,5.52,
atazanavir,AXRYRYVKAWYZBR-GASGPIRDSA-N,AXRYRYVKAWYZBR,full,pxr-challenge_counter-assay_TRAIN.csv,OADMET-0003700,PXR,pEC50_PXR_counter,2.8,
atorvastatin,XUKUURHRXDUEBC-KAYWLYCHSA-N,XUKUURHRXDUEBC,full,pxr-challenge_TRAIN.csv,OADMET-0003810,PXR,pEC50_PXR,4.86,
atorvastatin,XUKUURHRXDUEBC-KAYWLYCHSA-N,XUKUURHRXDUEBC,full,pxr-challenge_counter-assay_TRAIN.csv,OADMET-0003810,PXR,pEC50_PXR_counter,3.02,
azithromycin,MQTOSJVFKKJCRP-BICOPXKESA-N,MQTOSJVFKKJCRP,full,cyp-challenge-TRAIN_TDI.csv,OCNT-0493988,CYP3A4,is_TDI,0.0,
azithromycin,MQTOSJVFKKJCRP-BICOPXKESA-N,MQTOSJVFKKJCRP,full,cyp-challenge-TRAIN_TDI.csv,OCNT-0493988,CYP3A4,pIC50_TDI_condition,3.171460507,
azithromycin,MQTOSJVFKKJCRP-BICOPXKESA-N,MQTOSJVFKKJCRP,full,inhibition.tsv,OCNT-0493988-AA-001,CYP3A4,pIC50_direct,2.2539458575,
bosentan,GJPICJJJRGTNOD-UHFFFAOYSA-N,GJPICJJJRGTNOD,full,pxr-challenge_TRAIN.csv,OADMET-0003550,PXR,pEC50_PXR,5.25,
bosentan,GJPICJJJRGTNOD-UHFFFAOYSA-N,GJPICJJJRGTNOD,full,pxr-challenge_counter-assay_TRAIN.csv,OADMET-0003550,PXR,pEC50_PXR_counter,1.91,
brigatinib,AILRADAXUVEEIR-UHFFFAOYSA-N,AILRADAXUVEEIR,full,pxr-challenge_TRAIN.csv,OADMET-0003767,PXR,pEC50_PXR,2.03,
brigatinib,AILRADAXUVEEIR-UHFFFAOYSA-N,AILRADAXUVEEIR,full,pxr-challenge_counter-assay_TRAIN.csv,OADMET-0003767,PXR,pEC50_PXR_counter,2.1,
bromhexine,OJGDCBLYJGHCIH-UHFFFAOYSA-N,OJGDCBLYJGHCIH,full,cyp-challenge-TRAIN_TDI.csv,OCNT-2328382,CYP2D6,is_TDI,0.0,
bromhexine,OJGDCBLYJGHCIH-UHFFFAOYSA-N,OJGDCBLYJGHCIH,full,cyp-challenge-TRAIN_TDI.csv,OCNT-2328382,CYP2D6,pIC50_TDI_condition,7.205340625,
bromhexine,OJGDCBLYJGHCIH-UHFFFAOYSA-N,OJGDCBLYJGHCIH,full,cyp-challenge-TRAIN_inhibition.csv,OCNT-2328382,CYP2D6,pIC50_direct,7.10658219,
bromhexine,OJGDCBLYJGHCIH-UHFFFAOYSA-N,OJGDCBLYJGHCIH,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328382,CYP1A2,screen_log2fc,-0.6386454992,
bromhexine,OJGDCBLYJGHCIH-UHFFFAOYSA-N,OJGDCBLYJGHCIH,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328382,CYP2C9,screen_log2fc,-0.5476756449,
bromhexine,OJGDCBLYJGHCIH-UHFFFAOYSA-N,OJGDCBLYJGHCIH,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328382,CYP2D6,screen_log2fc,-2.820967815,
bromhexine,OJGDCBLYJGHCIH-UHFFFAOYSA-N,OJGDCBLYJGHCIH,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328382,CYP3A4,screen_log2fc,-1.389241946,
candesartan_cilexetil,GHOSNRCGJFBJIB-UHFFFAOYSA-N,GHOSNRCGJFBJIB,full,cyp-challenge-TRAIN_TDI.csv,OCNT-2328455,CYP1A2,pIC50_TDI_condition,4.832216508,
candesartan_cilexetil,GHOSNRCGJFBJIB-UHFFFAOYSA-N,GHOSNRCGJFBJIB,full,cyp-challenge-TRAIN_TDI.csv,OCNT-2328455,CYP2C9,pIC50_TDI_condition,5.760570868,
candesartan_cilexetil,GHOSNRCGJFBJIB-UHFFFAOYSA-N,GHOSNRCGJFBJIB,full,cyp-challenge-TRAIN_TDI.csv,OCNT-2328455,CYP3A4,is_TDI,1.0,
candesartan_cilexetil,GHOSNRCGJFBJIB-UHFFFAOYSA-N,GHOSNRCGJFBJIB,full,cyp-challenge-TRAIN_TDI.csv,OCNT-2328455,CYP3A4,pIC50_TDI_condition,5.768972683,
candesartan_cilexetil,GHOSNRCGJFBJIB-UHFFFAOYSA-N,GHOSNRCGJFBJIB,full,cyp-challenge-TRAIN_inhibition.csv,OCNT-2328455,CYP1A2,pIC50_direct,4.718853295,
candesartan_cilexetil,GHOSNRCGJFBJIB-UHFFFAOYSA-N,GHOSNRCGJFBJIB,full,cyp-challenge-TRAIN_inhibition.csv,OCNT-2328455,CYP2C9,pIC50_direct,5.753006065,
candesartan_cilexetil,GHOSNRCGJFBJIB-UHFFFAOYSA-N,GHOSNRCGJFBJIB,full,cyp-challenge-TRAIN_inhibition.csv,OCNT-2328455,CYP3A4,pIC50_direct,5.142915203,
candesartan_cilexetil,GHOSNRCGJFBJIB-UHFFFAOYSA-N,GHOSNRCGJFBJIB,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328455,CYP1A2,screen_log2fc,-2.02143043,
candesartan_cilexetil,GHOSNRCGJFBJIB-UHFFFAOYSA-N,GHOSNRCGJFBJIB,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328455,CYP2C9,screen_log2fc,-1.369635902,
candesartan_cilexetil,GHOSNRCGJFBJIB-UHFFFAOYSA-N,GHOSNRCGJFBJIB,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328455,CYP2D6,screen_log2fc,-0.3753131459,
candesartan_cilexetil,GHOSNRCGJFBJIB-UHFFFAOYSA-N,GHOSNRCGJFBJIB,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328455,CYP3A4,screen_log2fc,-3.728666984,
celecoxib,RZEKVGVHFLEQIL-UHFFFAOYSA-N,RZEKVGVHFLEQIL,full,cyp-challenge-TRAIN_TDI.csv,OCNT-0494139,CYP2D6,is_TDI,1.0,
celecoxib,RZEKVGVHFLEQIL-UHFFFAOYSA-N,RZEKVGVHFLEQIL,full,cyp-challenge-TRAIN_TDI.csv,OCNT-0494139,CYP2D6,pIC50_TDI_condition,5.16257717,
celecoxib,RZEKVGVHFLEQIL-UHFFFAOYSA-N,RZEKVGVHFLEQIL,full,cyp-challenge-TRAIN_inhibition.csv,OCNT-0494139,CYP2D6,pIC50_direct,4.412231055,
celecoxib,RZEKVGVHFLEQIL-UHFFFAOYSA-N,RZEKVGVHFLEQIL,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0494139,CYP1A2,screen_log2fc,-0.3740998665,
celecoxib,RZEKVGVHFLEQIL-UHFFFAOYSA-N,RZEKVGVHFLEQIL,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0494139,CYP2C9,screen_log2fc,-1.369637764,
celecoxib,RZEKVGVHFLEQIL-UHFFFAOYSA-N,RZEKVGVHFLEQIL,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0494139,CYP2D6,screen_log2fc,-0.8748286832,
celecoxib,RZEKVGVHFLEQIL-UHFFFAOYSA-N,RZEKVGVHFLEQIL,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0494139,CYP3A4,screen_log2fc,-4.18270133,
ceritinib,VERWOWGGCGHDQE-UHFFFAOYSA-N,VERWOWGGCGHDQE,full,cyp-challenge-TRAIN_TDI.csv,OCNT-2328369,CYP2D6,is_TDI,0.0,
ceritinib,VERWOWGGCGHDQE-UHFFFAOYSA-N,VERWOWGGCGHDQE,full,cyp-challenge-TRAIN_TDI.csv,OCNT-2328369,CYP2D6,pIC50_TDI_condition,4.258616622,
ceritinib,VERWOWGGCGHDQE-UHFFFAOYSA-N,VERWOWGGCGHDQE,full,cyp-challenge-TRAIN_inhibition.csv,OCNT-2328369,CYP2D6,pIC50_direct,4.112767365,
ceritinib,VERWOWGGCGHDQE-UHFFFAOYSA-N,VERWOWGGCGHDQE,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328369,CYP1A2,screen_log2fc,-0.4648107385,
ceritinib,VERWOWGGCGHDQE-UHFFFAOYSA-N,VERWOWGGCGHDQE,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328369,CYP2C9,screen_log2fc,-1.323914958,
ceritinib,VERWOWGGCGHDQE-UHFFFAOYSA-N,VERWOWGGCGHDQE,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328369,CYP2D6,screen_log2fc,-1.069165291,
ceritinib,VERWOWGGCGHDQE-UHFFFAOYSA-N,VERWOWGGCGHDQE,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-2328369,CYP3A4,screen_log2fc,-4.020360921,
cetirizine,ZKLPARSLTMPFCP-UHFFFAOYSA-N,ZKLPARSLTMPFCP,full,cyp-challenge-TRAIN_TDI.csv,OCNT-0495189,CYP2C9,pIC50_TDI_condition,2.89405063,
cetirizine,ZKLPARSLTMPFCP-UHFFFAOYSA-N,ZKLPARSLTMPFCP,full,cyp-challenge-TRAIN_TDI.csv,OCNT-0495189,CYP3A4,is_TDI,0.0,
cetirizine,ZKLPARSLTMPFCP-UHFFFAOYSA-N,ZKLPARSLTMPFCP,full,cyp-challenge-TRAIN_TDI.csv,OCNT-0495189,CYP3A4,pIC50_TDI_condition,2.274677647,
cetirizine,ZKLPARSLTMPFCP-UHFFFAOYSA-N,ZKLPARSLTMPFCP,full,cyp-challenge-TRAIN_inhibition.csv,OCNT-0495189,CYP2C9,pIC50_direct,2.102832312,
cetirizine,ZKLPARSLTMPFCP-UHFFFAOYSA-N,ZKLPARSLTMPFCP,full,cyp-challenge-TRAIN_inhibition.csv,OCNT-0495189,CYP3A4,pIC50_direct,2.114282752,
cetirizine,ZKLPARSLTMPFCP-UHFFFAOYSA-N,ZKLPARSLTMPFCP,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0495189,CYP1A2,screen_log2fc,-0.1636903592,
cetirizine,ZKLPARSLTMPFCP-UHFFFAOYSA-N,ZKLPARSLTMPFCP,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0495189,CYP2C9,screen_log2fc,-0.2234726724,
cetirizine,ZKLPARSLTMPFCP-UHFFFAOYSA-N,ZKLPARSLTMPFCP,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0495189,CYP2D6,screen_log2fc,0.3099578718,
cetirizine,ZKLPARSLTMPFCP-UHFFFAOYSA-N,ZKLPARSLTMPFCP,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0495189,CYP3A4,screen_log2fc,-0.2569393263,
chlorzoxazone,TZFWDZFKRBELIQ-UHFFFAOYSA-N,TZFWDZFKRBELIQ,full,cyp-challenge-TRAIN_TDI.csv,OCNT-0498126,CYP1A2,pIC50_TDI_condition,5.583525733,
chlorzoxazone,TZFWDZFKRBELIQ-UHFFFAOYSA-N,TZFWDZFKRBELIQ,full,cyp-challenge-TRAIN_inhibition.csv,OCNT-0498126,CYP1A2,pIC50_direct,5.587237593,
chlorzoxazone,TZFWDZFKRBELIQ-UHFFFAOYSA-N,TZFWDZFKRBELIQ,full,cyp-challenge-single-concentration-TRAIN.csv,OCNT-0498126,CYP1A2,screen_log2fc,-1.730620671,
